0	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
X21Q22.3.AMP	C1	1.0	1.0	0.011204481792717087	0.25	0.25	0.25	0.0	0.25	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	0.0	0.0028011204481792717	1	87	1	77	1	61	0	42	1	86	1	1	1	0	1
PIM1	C2	7.657066286479994e-05	9.99990000099999e-06	0.3557422969187675	0.1811023622047244	0.47244094488188976	0.047244094488188976	0.1653543307086614	0.13385826771653542	0.06442577030812324	0.16806722689075632	0.01680672268907563	0.058823529411764705	0.047619047619047616	23	65	60	18	6	56	21	21	17	70	42	112	11	40	32
X18Q.AMP	C2	7.657066286479994e-05	9.99990000099999e-06	0.3529411764705882	0.09523809523809525	0.40476190476190477	0.09523809523809525	0.02380952380952381	0.380952380952381	0.03361344537815126	0.14285714285714285	0.03361344537815126	0.008403361344537815	0.13445378151260504	12	76	51	27	12	50	3	39	48	39	14	68	12	3	66
MYD88	C2	7.657066286479994e-05	9.99990000099999e-06	0.24369747899159666	0.24137931034482757	0.49425287356321834	0.05747126436781609	0.022988505747126436	0.1839080459770115	0.058823529411764705	0.12044817927170869	0.014005602240896359	0.0056022408963585435	0.04481792717086835	21	67	43	35	5	57	2	40	16	71	42	86	10	4	32
CD79B	C2	7.657066286479994e-05	9.99990000099999e-06	0.17647058823529413	0.20634920634920634	0.5714285714285714	0.031746031746031744	0.06349206349206349	0.12698412698412698	0.036414565826330535	0.10084033613445378	0.0056022408963585435	0.011204481792717087	0.022408963585434174	13	75	36	42	2	60	4	38	8	79	25	71	3	8	16
X3P.AMP	C2	7.657066286479994e-05	9.99990000099999e-06	0.2184873949579832	0.08974358974358974	0.44871794871794873	0.03846153846153846	0.01282051282051282	0.41025641025641024	0.0196078431372549	0.09803921568627451	0.008403361344537815	0.0028011204481792717	0.0896358543417367	7	81	35	43	3	59	1	41	32	55	7	40	3	1	32
MYD88.L265P	C2	7.657066286479994e-05	9.99990000099999e-06	0.12605042016806722	0.06666666666666667	0.7555555555555555	0.0	0.022222222222222223	0.15555555555555556	0.008403361344537815	0.09523809523809523	0.0	0.0028011204481792717	0.0196078431372549	3	85	34	44	0	62	1	41	7	80	6	68	0	2	14
X19Q13.42.AMP	C2	7.657066286479994e-05	9.99990000099999e-06	0.13445378151260504	0.14583333333333334	0.5416666666666667	0.0625	0.125	0.125	0.0196078431372549	0.07282913165266107	0.008403361344537815	0.01680672268907563	0.01680672268907563	7	81	26	52	3	59	6	36	6	81	7	36	3	6	6
IGLL5	C2	7.657066286479994e-05	9.99990000099999e-06	0.12044817927170869	0.09302325581395349	0.5813953488372093	0.046511627906976744	0.11627906976744186	0.1627906976744186	0.011204481792717087	0.0700280112044818	0.0056022408963585435	0.014005602240896359	0.0196078431372549	4	84	25	53	2	60	5	37	7	80	8	46	4	9	11
PRDM1	C2	7.657066286479994e-05	9.99990000099999e-06	0.10644257703081232	0.15789473684210525	0.631578947368421	0.07894736842105263	0.0	0.13157894736842107	0.01680672268907563	0.06722689075630252	0.008403361344537815	0.0	0.014005602240896359	6	82	24	54	3	59	0	42	5	82	12	48	4	0	10
DUSP2	C2	7.657066286479994e-05	9.99990000099999e-06	0.21568627450980393	0.24675324675324672	0.2857142857142857	0.03896103896103896	0.24675324675324672	0.1818181818181818	0.05322128851540616	0.06162464985994398	0.008403361344537815	0.05322128851540616	0.0392156862745098	19	69	22	56	3	59	19	23	14	73	31	36	6	34	21
ETV6	C2	7.657066286479994e-05	9.99990000099999e-06	0.09523809523809523	0.05882352941176471	0.6176470588235294	0.029411764705882356	0.17647058823529413	0.11764705882352942	0.0056022408963585435	0.058823529411764705	0.0028011204481792717	0.01680672268907563	0.011204481792717087	2	86	21	57	1	61	6	36	4	83	4	41	1	12	8
BTG1	C2	0.00019609560001960957	2.999970000299997e-05	0.27170868347338933	0.24742268041237114	0.3505154639175258	0.07216494845360825	0.1752577319587629	0.154639175257732	0.06722689075630252	0.09523809523809523	0.0196078431372549	0.047619047619047616	0.04201680672268908	24	64	34	44	7	55	17	25	15	72	36	51	13	29	22
TBL1XR1	C2	0.00024929983258306957	3.999960000399996e-05	0.13165266106442577	0.1276595744680851	0.44680851063829785	0.06382978723404255	0.23404255319148937	0.1276595744680851	0.01680672268907563	0.058823529411764705	0.008403361344537815	0.03081232492997199	0.01680672268907563	6	82	21	57	3	59	11	31	6	81	12	41	6	22	12
TOX	C2	0.0003828533143239996	6.999930000699993e-05	0.061624649859943974	0.045454545454545456	0.5909090909090909	0.13636363636363635	0.18181818181818182	0.045454545454545456	0.0028011204481792717	0.036414565826330535	0.008403361344537815	0.011204481792717087	0.0028011204481792717	1	87	13	65	3	59	4	38	1	86	2	25	6	8	2
TMSB4X	C2	0.00042879571204287956	7.999920000799993e-05	0.16806722689075632	0.3	0.36666666666666664	0.09999999999999999	0.16666666666666666	0.06666666666666667	0.05042016806722689	0.06162464985994398	0.01680672268907563	0.028011204481792718	0.011204481792717087	18	70	22	56	6	56	10	32	4	83	35	43	11	20	8
HLA.B	C2	0.0004872678545941813	9.99990000099999e-05	0.12324929971988793	0.27272727272727276	0.3863636363636364	0.04545454545454546	0.22727272727272732	0.06818181818181819	0.03361344537815126	0.047619047619047616	0.0056022408963585435	0.028011204481792718	0.008403361344537815	12	76	17	61	2	60	10	32	3	84	24	34	4	18	5
OSBPL10	C2	0.0007052561053336834	0.00014999850001499985	0.19607843137254904	0.19999999999999998	0.39999999999999997	0.14285714285714285	0.15714285714285714	0.09999999999999999	0.0392156862745098	0.0784313725490196	0.028011204481792718	0.03081232492997199	0.0196078431372549	14	74	28	50	10	52	11	31	7	80	26	55	19	18	13
GRHPR	C2	0.0011862176460202612	0.00026999730002699973	0.06722689075630252	0.16666666666666669	0.6250000000000001	0.04166666666666667	0.04166666666666667	0.125	0.011204481792717087	0.04201680672268908	0.0028011204481792717	0.0028011204481792717	0.008403361344537815	4	84	15	63	1	61	1	41	3	84	7	27	2	2	6
X6Q21.DEL	C2	0.004206540213078882	0.0012399876001239988	0.09803921568627452	0.11428571428571427	0.42857142857142855	0.11428571428571427	0.0	0.3428571428571428	0.011204481792717087	0.04201680672268908	0.011204481792717087	0.0	0.03361344537815126	4	84	15	63	4	58	0	42	12	75	4	16	4	0	15
PIM2	C2	0.006683389956223895	0.002019979800201998	0.0784313725490196	0.14285714285714285	0.5	0.03571428571428571	0.17857142857142858	0.14285714285714285	0.011204481792717087	0.0392156862745098	0.0028011204481792717	0.014005602240896359	0.011204481792717087	4	84	14	64	1	61	5	37	4	83	8	23	2	10	7
ZC3H12A	C2	0.008427385605662016	0.0026099739002609975	0.050420168067226885	0.16666666666666669	0.6111111111111112	0.0	0.05555555555555556	0.16666666666666669	0.008403361344537815	0.03081232492997199	0.0	0.0028011204481792717	0.008403361344537815	3	85	11	67	0	62	1	41	3	84	6	22	0	2	5
CARD11	C2	0.010810228976361922	0.0035199648003519965	0.19327731092436976	0.18840579710144928	0.2753623188405797	0.20289855072463767	0.2173913043478261	0.11594202898550725	0.036414565826330535	0.05322128851540616	0.0392156862745098	0.04201680672268908	0.022408963585434174	13	75	19	59	14	48	15	27	8	79	24	36	28	27	16
IRF2BP2	C2	0.02806527490280653	0.01130988690113099	0.17366946778711484	0.1935483870967742	0.3709677419354838	0.11290322580645161	0.16129032258064518	0.16129032258064518	0.03361344537815126	0.06442577030812324	0.0196078431372549	0.028011204481792718	0.028011204481792718	12	76	23	55	7	55	10	32	10	77	21	43	13	18	20
FNBP1	C2	0.038207405536564105	0.016109838901610985	0.028011204481792718	0.3	0.6	0.0	0.09999999999999999	0.0	0.008403361344537815	0.01680672268907563	0.0	0.0028011204481792717	0.0	3	85	6	72	0	62	1	41	0	87	6	12	0	2	0
BTK	C2	0.03887126346127843	0.016679833201667982	0.028011204481792718	0.09999999999999999	0.6	0.09999999999999999	0.19999999999999998	0.0	0.0028011204481792717	0.01680672268907563	0.0028011204481792717	0.0056022408963585435	0.0	1	87	6	72	1	61	2	40	0	87	2	12	2	4	0
SF3B1	C2	0.04467379055023009	0.01966980330196698	0.0196078431372549	0.0	0.7142857142857143	0.0	0.14285714285714285	0.14285714285714285	0.0	0.014005602240896359	0.0	0.0028011204481792717	0.0028011204481792717	0	88	5	73	0	62	1	41	1	86	0	9	0	2	2
BCL11A	C2	0.0491178281494496	0.02180978190218098	0.058823529411764705	0.09523809523809525	0.4285714285714286	0.14285714285714285	0.2380952380952381	0.09523809523809525	0.0056022408963585435	0.025210084033613446	0.008403361344537815	0.014005602240896359	0.0056022408963585435	2	86	9	69	3	59	5	37	2	85	4	16	5	10	3
CDKN2A	C2	0.06455332272074105	0.03034969650303497	0.061624649859943974	0.2272727272727273	0.36363636363636365	0.3181818181818182	0.045454545454545456	0.045454545454545456	0.014005602240896359	0.022408963585434174	0.0196078431372549	0.0028011204481792717	0.0028011204481792717	5	83	8	70	7	55	1	41	1	86	10	16	14	1	2
HIST1H1D	C2	0.06824435692650947	0.03233967660323397	0.061624649859943974	0.18181818181818182	0.2727272727272727	0.2272727272727273	0.2727272727272727	0.045454545454545456	0.011204481792717087	0.01680672268907563	0.014005602240896359	0.01680672268907563	0.0028011204481792717	4	84	6	72	5	57	6	36	1	86	8	10	10	12	2
ANKRD35	C2	0.09880167864988018	0.049769502304976954	0.08403361344537816	0.19999999999999998	0.39999999999999997	0.16666666666666666	0.0	0.2333333333333333	0.01680672268907563	0.03361344537815126	0.014005602240896359	0.0	0.0196078431372549	6	82	12	66	5	57	0	42	7	80	8	20	9	0	9
X6P21.33.DEL	C2	0.13436577962987492	0.07297927020729793	0.27170868347338933	0.18556701030927836	0.27835051546391754	0.11340206185567012	0.1443298969072165	0.27835051546391754	0.05042016806722689	0.07563025210084033	0.03081232492997199	0.0392156862745098	0.07563025210084033	18	70	27	51	11	51	14	28	27	60	18	29	11	14	29
METAP1D	C2	0.13436577962987492	0.07221927780722193	0.01680672268907563	0.16666666666666669	0.5	0.0	0.33333333333333337	0.0	0.0028011204481792717	0.008403361344537815	0.0	0.0056022408963585435	0.0	1	87	3	75	0	62	2	40	0	87	2	5	0	4	0
X6P21.1.AMP	C2	0.23591934812359192	0.14353856461435385	0.05042016806722689	0.2222222222222222	0.3888888888888889	0.05555555555555555	0.0	0.3333333333333333	0.011204481792717087	0.0196078431372549	0.0028011204481792717	0.0	0.01680672268907563	4	84	7	71	1	61	0	42	6	81	4	9	2	0	10
SCN9A	C2	0.25024249757502426	0.15686843131568684	0.1204481792717087	0.2325581395348837	0.2790697674418604	0.18604651162790695	0.18604651162790695	0.11627906976744184	0.028011204481792718	0.03361344537815126	0.022408963585434174	0.022408963585434174	0.014005602240896359	10	78	12	66	8	54	8	34	5	82	19	23	15	15	10
X1Q32.1.AMP	C2	0.2632082554914096	0.16597834021659782	0.06442577030812326	0.08695652173913043	0.3913043478260869	0.21739130434782608	0.08695652173913043	0.21739130434782608	0.0056022408963585435	0.025210084033613446	0.014005602240896359	0.0056022408963585435	0.014005602240896359	2	86	9	69	5	57	2	40	5	82	2	12	6	2	7
ATP2A2	C2	0.2751802714530994	0.1766082339176608	0.01680672268907563	0.16666666666666669	0.6666666666666667	0.0	0.0	0.16666666666666669	0.0028011204481792717	0.011204481792717087	0.0	0.0	0.0028011204481792717	1	87	4	74	0	62	0	42	1	86	2	8	0	0	1
GRB2	C2	0.2920405081663469	0.19069809301906981	0.028011204481792718	0.19999999999999998	0.39999999999999997	0.19999999999999998	0.19999999999999998	0.0	0.0056022408963585435	0.011204481792717087	0.0056022408963585435	0.0056022408963585435	0.0	2	86	4	74	2	60	2	40	0	87	4	8	4	3	0
NFATC4	C2	0.2920405081663469	0.18987810121898782	0.02240896358543417	0.25000000000000006	0.37500000000000006	0.37500000000000006	0.0	0.0	0.0056022408963585435	0.008403361344537815	0.008403361344537815	0.0	0.0	2	86	3	75	3	59	0	42	0	87	3	6	4	0	0
KIAA1919	C2	0.3026285292702628	0.20325796742032579	0.014005602240896357	0.4	0.6	0.0	0.0	0.0	0.0056022408963585435	0.008403361344537815	0.0	0.0	0.0	2	86	3	75	0	62	0	42	0	87	3	6	0	0	0
OR8I2	C2	0.3344223700620137	0.22710772892271078	0.07563025210084033	0.11111111111111112	0.33333333333333337	0.11111111111111112	0.11111111111111112	0.33333333333333337	0.008403361344537815	0.025210084033613446	0.008403361344537815	0.008403361344537815	0.025210084033613446	3	85	9	69	3	59	3	39	9	78	6	16	6	6	18
PFN1	C2	0.34526502561061345	0.23704762952370476	0.01680672268907563	0.0	0.5	0.33333333333333337	0.0	0.16666666666666669	0.0	0.008403361344537815	0.0056022408963585435	0.0	0.0028011204481792717	0	88	3	75	2	60	0	42	1	86	0	5	4	0	2
X18Q22.2.AMP	C2	0.38602957885765055	0.2703372966270337	0.03361344537815126	0.08333333333333334	0.4166666666666667	0.16666666666666669	0.0	0.33333333333333337	0.0028011204481792717	0.014005602240896359	0.0056022408963585435	0.0	0.011204481792717087	1	87	5	73	2	60	0	42	4	83	1	8	2	0	5
ARIH1	C2	0.3956170854958117	0.2834271657283427	0.0392156862745098	0.07142857142857142	0.42857142857142855	0.14285714285714285	0.14285714285714285	0.21428571428571427	0.0028011204481792717	0.01680672268907563	0.0056022408963585435	0.0056022408963585435	0.008403361344537815	1	87	6	72	2	60	2	40	3	84	2	11	4	4	4
X11Q23.3.AMP	C2	0.40547718234157865	0.2935170648293517	0.09803921568627452	0.19999999999999998	0.3142857142857143	0.19999999999999998	0.028571428571428567	0.2571428571428571	0.0196078431372549	0.03081232492997199	0.0196078431372549	0.0028011204481792717	0.025210084033613446	7	81	11	67	7	55	1	41	9	78	7	11	10	1	13
C2ORF16	C2	0.450587413317786	0.3328966710332897	0.0392156862745098	0.21428571428571427	0.35714285714285715	0.2857142857142857	0.0	0.14285714285714285	0.008403361344537815	0.014005602240896359	0.011204481792717087	0.0	0.0056022408963585435	3	85	5	73	4	58	0	42	2	85	6	10	7	0	4
BEST3	C2	0.4543894561054389	0.33909660903390965	0.025210084033613446	0.3333333333333333	0.4444444444444444	0.0	0.0	0.2222222222222222	0.008403361344537815	0.011204481792717087	0.0	0.0	0.0056022408963585435	3	85	4	74	0	62	0	42	2	85	6	8	0	0	4
EIF5	C2	0.4704812357817016	0.35461645383546164	0.022408963585434174	0.125	0.5	0.25	0.0	0.125	0.0028011204481792717	0.011204481792717087	0.0056022408963585435	0.0	0.0028011204481792717	1	87	4	74	2	60	0	42	1	86	2	8	4	0	2
HCN1	C2	0.5329616947732961	0.40767592324076757	0.06722689075630252	0.25	0.375	0.125	0.04166666666666667	0.20833333333333334	0.01680672268907563	0.025210084033613446	0.008403361344537815	0.0028011204481792717	0.014005602240896359	6	82	9	69	3	59	1	41	5	82	11	15	5	1	9
BCOR	C2	0.5787098732786258	0.45223547764522354	0.07282913165266107	0.1923076923076923	0.34615384615384615	0.15384615384615383	0.15384615384615383	0.15384615384615383	0.014005602240896359	0.025210084033613446	0.011204481792717087	0.011204481792717087	0.011204481792717087	5	83	9	69	4	58	4	38	4	83	10	17	8	8	8
SKP1	C2	0.5904874284590487	0.4693053069469305	0.014005602240896359	0.19999999999999998	0.6	0.0	0.0	0.19999999999999998	0.0028011204481792717	0.008403361344537815	0.0	0.0	0.0028011204481792717	1	87	3	75	0	62	0	42	1	86	2	6	0	0	2
NIPA2	C2	0.6214111374867987	0.5041449585504145	0.025210084033613446	0.1111111111111111	0.3333333333333333	0.3333333333333333	0.0	0.2222222222222222	0.0028011204481792717	0.008403361344537815	0.008403361344537815	0.0	0.0056022408963585435	1	87	3	75	3	59	0	42	2	85	2	5	6	0	3
CTDP1	C2	0.6288106551248899	0.5350546494535054	0.05602240896358542	0.30000000000000004	0.3500000000000001	0.15000000000000002	0.05000000000000001	0.15000000000000002	0.01680672268907563	0.0196078431372549	0.008403361344537815	0.0028011204481792717	0.008403361344537815	6	82	7	71	3	59	1	41	3	84	12	13	6	2	4
SMO	C2	0.7111467868372163	0.6262337376626234	0.06162464985994398	0.13636363636363635	0.2727272727272727	0.18181818181818182	0.18181818181818182	0.22727272727272727	0.008403361344537815	0.01680672268907563	0.011204481792717087	0.011204481792717087	0.014005602240896359	3	85	6	72	4	58	4	38	5	82	6	11	7	7	10
NEK5	C2	0.7204285940333873	0.6397836021639783	0.03361344537815126	0.08333333333333334	0.25	0.25	0.16666666666666669	0.25	0.0028011204481792717	0.008403361344537815	0.008403361344537815	0.0056022408963585435	0.008403361344537815	1	87	3	75	3	59	2	40	3	84	2	6	6	4	6
X6Q23.3.DEL	C2	0.7329726702732973	0.6558234417655824	0.10364145658263305	0.1891891891891892	0.24324324324324326	0.21621621621621623	0.16216216216216217	0.1891891891891892	0.0196078431372549	0.025210084033613446	0.022408963585434174	0.01680672268907563	0.0196078431372549	7	81	9	69	8	54	6	36	7	80	7	9	8	6	7
DCDC2B	C2	0.7811133364076196	0.7111628883711163	0.01680672268907563	0.16666666666666669	0.33333333333333337	0.0	0.16666666666666669	0.33333333333333337	0.0028011204481792717	0.0056022408963585435	0.0	0.0028011204481792717	0.0056022408963585435	1	87	2	76	0	62	1	41	2	85	1	4	0	2	4
NRAS	C2	0.8735974057582259	0.8279617203827961	0.011204481792717087	0.25	0.5	0.0	0.0	0.25	0.0028011204481792717	0.0056022408963585435	0.0	0.0	0.0028011204481792717	1	87	2	76	0	62	0	42	1	86	2	4	0	0	2
TMEM82	C2	0.8817847507799431	0.8390116098839011	0.025210084033613446	0.1111111111111111	0.3333333333333333	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.0028011204481792717	0.008403361344537815	0.0056022408963585435	0.0028011204481792717	0.0056022408963585435	1	87	3	75	2	60	1	41	2	85	1	6	3	2	3
RNPS1	C2	0.9166547094218981	0.8824511754882451	0.01680672268907563	0.16666666666666669	0.33333333333333337	0.16666666666666669	0.16666666666666669	0.16666666666666669	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0028011204481792717	0.0028011204481792717	1	87	2	76	1	61	1	41	1	86	2	4	2	2	2
AUNIP	C2	0.9208674325470486	0.9002509974900251	0.014005602240896359	0.19999999999999998	0.39999999999999997	0.19999999999999998	0.0	0.19999999999999998	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0	0.0028011204481792717	1	87	2	76	1	61	0	42	1	86	2	4	2	0	2
DKK4	C2	0.9208674325470486	0.8984410155898441	0.014005602240896359	0.19999999999999998	0.39999999999999997	0.19999999999999998	0.0	0.19999999999999998	0.0028011204481792717	0.0056022408963585435	0.0028011204481792717	0.0	0.0028011204481792717	1	87	2	76	1	61	0	42	1	86	2	4	2	0	2
STK33	C2	0.9812747155547312	0.9702902970970291	0.036414565826330535	0.23076923076923075	0.30769230769230765	0.15384615384615383	0.07692307692307691	0.23076923076923075	0.008403361344537815	0.011204481792717087	0.0056022408963585435	0.0028011204481792717	0.008403361344537815	3	85	4	74	2	60	1	41	3	84	6	7	4	2	6
SV.BCL2	C3	7.657066286479994e-05	9.99990000099999e-06	0.10364145658263305	0.02702702702702703	0.02702702702702703	0.810810810810811	0.05405405405405406	0.08108108108108109	0.0028011204481792717	0.0028011204481792717	0.08403361344537816	0.0056022408963585435	0.008403361344537815	1	87	1	77	30	32	2	40	3	84	3	3	90	6	9
BCL2	C3	7.657066286479994e-05	9.99990000099999e-06	0.13445378151260504	0.0625	0.22916666666666669	0.5833333333333334	0.0625	0.0625	0.008403361344537815	0.03081232492997199	0.0784313725490196	0.008403361344537815	0.008403361344537815	3	85	11	67	28	34	3	39	3	84	5	18	49	6	6
TNFRSF14	C3	7.657066286479994e-05	9.99990000099999e-06	0.13725490196078433	0.2857142857142857	0.02040816326530612	0.5510204081632653	0.1020408163265306	0.04081632653061224	0.0392156862745098	0.0028011204481792717	0.07563025210084033	0.014005602240896359	0.0056022408963585435	14	74	1	77	27	35	5	37	2	85	27	1	54	10	4
CREBBP	C3	7.657066286479994e-05	9.99990000099999e-06	0.17366946778711484	0.25806451612903225	0.11290322580645161	0.40322580645161293	0.03225806451612903	0.1935483870967742	0.04481792717086835	0.0196078431372549	0.0700280112044818	0.0056022408963585435	0.03361344537815126	16	72	7	71	25	37	2	40	12	75	31	14	50	4	22
EZH2	C3	7.657066286479994e-05	9.99990000099999e-06	0.09243697478991597	0.0909090909090909	0.0606060606060606	0.6969696969696969	0.0303030303030303	0.1212121212121212	0.008403361344537815	0.0056022408963585435	0.06442577030812324	0.0028011204481792717	0.011204481792717087	3	85	2	76	23	39	1	41	4	83	5	4	46	2	8
KMT2D	C3	0.0006221366357764994	0.00012999870001299986	0.33893557422969184	0.23966942148760334	0.2231404958677686	0.29752066115702486	0.06611570247933884	0.17355371900826447	0.08123249299719888	0.07563025210084033	0.10084033613445378	0.022408963585434174	0.058823529411764705	29	59	27	51	36	26	8	34	21	66	57	50	71	16	41
GNA13	C3	0.001210310477540386	0.00027999720002799973	0.08403361344537814	0.2	0.1	0.4666666666666667	0.16666666666666669	0.06666666666666668	0.01680672268907563	0.008403361344537815	0.0392156862745098	0.014005602240896359	0.0056022408963585435	6	82	3	75	14	48	5	37	2	85	12	6	28	10	4
X12P.AMP	C3	0.006063439365606344	0.001809981900180998	0.1680672268907563	0.11666666666666667	0.13333333333333336	0.3166666666666667	0.15000000000000002	0.2833333333333333	0.0196078431372549	0.022408963585434174	0.05322128851540616	0.025210084033613446	0.047619047619047616	7	81	8	70	19	43	9	33	17	70	7	8	19	9	17
STAT6	C3	0.009940830824249897	0.0031899681003189967	0.0196078431372549	0.14285714285714285	0.0	0.7142857142857143	0.14285714285714285	0.0	0.0028011204481792717	0.0	0.014005602240896359	0.0028011204481792717	0.0	1	87	0	78	5	57	1	41	0	87	2	0	9	2	0
MAP2K1	C3	0.010810228976361922	0.0035899641003589965	0.039215686274509796	0.3571428571428572	0.0	0.5000000000000001	0.07142857142857144	0.07142857142857144	0.014005602240896359	0.0	0.0196078431372549	0.0028011204481792717	0.0028011204481792717	5	83	0	78	7	55	1	41	1	86	9	0	14	2	2
HVCN1	C3	0.010810228976361922	0.0035799642003579964	0.022408963585434174	0.375	0.0	0.625	0.0	0.0	0.008403361344537815	0.0	0.014005602240896359	0.0	0.0	3	85	0	78	5	57	0	42	0	87	6	0	10	0	0
MEF2C	C3	0.011494107281149411	0.0038599614003859964	0.025210084033613446	0.0	0.2222222222222222	0.5555555555555556	0.2222222222222222	0.0	0.0	0.0056022408963585435	0.014005602240896359	0.0056022408963585435	0.0	0	88	2	76	5	57	2	40	0	87	0	3	9	4	0
EP300	C3	0.012722510137535987	0.004319956800431996	0.10644257703081231	0.15789473684210528	0.1842105263157895	0.42105263157894746	0.07894736842105264	0.15789473684210528	0.01680672268907563	0.0196078431372549	0.04481792717086835	0.008403361344537815	0.01680672268907563	6	82	7	71	16	46	3	39	6	81	9	13	30	6	11
X18Q23.DEL	C3	0.016393453086745727	0.005749942500574994	0.07563025210084033	0.14814814814814817	0.07407407407407408	0.40740740740740744	0.03703703703703704	0.33333333333333337	0.011204481792717087	0.0056022408963585435	0.03081232492997199	0.0028011204481792717	0.025210084033613446	4	84	2	76	11	51	1	41	9	78	4	2	11	1	9
SV.MYC	C3	0.018167397273395686	0.006439935600643994	0.05882352941176471	0.047619047619047616	0.19047619047619047	0.47619047619047616	0.09523809523809523	0.19047619047619047	0.0028011204481792717	0.011204481792717087	0.028011204481792718	0.0056022408963585435	0.011204481792717087	1	87	4	74	10	52	2	40	4	83	3	12	30	6	12
SOCS1	C3	0.03469347124710571	0.014239857601423985	0.16246498599439776	0.25862068965517243	0.13793103448275862	0.27586206896551724	0.1896551724137931	0.13793103448275862	0.04201680672268908	0.022408963585434174	0.04481792717086835	0.03081232492997199	0.022408963585434174	15	73	8	70	16	46	11	31	8	79	29	15	30	18	15
RAC2	C3	0.03668213317866821	0.015329846701532984	0.03361344537815126	0.25	0.08333333333333334	0.33333333333333337	0.33333333333333337	0.0	0.008403361344537815	0.0028011204481792717	0.011204481792717087	0.011204481792717087	0.0	3	85	1	77	4	58	4	38	0	87	6	1	8	8	0
MEF2B	C3	0.10956591164015367	0.05600943990560094	0.0896358543417367	0.25	0.15625	0.375	0.0625	0.15625	0.022408963585434174	0.014005602240896359	0.03361344537815126	0.0056022408963585435	0.014005602240896359	8	80	5	73	12	50	2	40	5	82	15	10	23	4	9
X13Q31.3.AMP	C3	0.1377107850543116	0.07597924020759793	0.06442577030812324	0.1739130434782609	0.04347826086956522	0.30434782608695654	0.1739130434782609	0.30434782608695654	0.011204481792717087	0.0028011204481792717	0.0196078431372549	0.011204481792717087	0.0196078431372549	4	84	1	77	7	55	4	38	7	80	5	1	8	4	11
POU2AF1	C3	0.1781834129710651	0.1023889761102389	0.022408963585434174	0.25	0.125	0.5	0.125	0.0	0.0056022408963585435	0.0028011204481792717	0.011204481792717087	0.0028011204481792717	0.0	2	86	1	77	4	58	1	41	0	87	4	2	7	2	0
EEF1A1	C3	0.18982855332736998	0.10978890211097889	0.047619047619047616	0.17647058823529413	0.11764705882352942	0.35294117647058826	0.23529411764705885	0.11764705882352942	0.008403361344537815	0.0056022408963585435	0.01680672268907563	0.011204481792717087	0.0056022408963585435	3	85	2	76	6	56	4	38	2	85	6	4	11	8	2
KRAS	C3	0.23591934812359192	0.14033859661403386	0.030812324929971987	0.18181818181818182	0.09090909090909091	0.36363636363636365	0.2727272727272727	0.09090909090909091	0.0056022408963585435	0.0028011204481792717	0.011204481792717087	0.008403361344537815	0.0028011204481792717	2	86	1	77	4	58	3	39	1	86	4	2	8	6	2
PTPRH	C3	0.2414720431108942	0.14956850431495686	0.03641456582633053	0.23076923076923078	0.3076923076923077	0.3846153846153847	0.0	0.07692307692307693	0.008403361344537815	0.011204481792717087	0.014005602240896359	0.0	0.0028011204481792717	3	85	4	74	5	57	0	42	1	86	6	8	8	0	2
OR6K2	C3	0.2473920170977931	0.15415845841541584	0.0196078431372549	0.14285714285714285	0.14285714285714285	0.5714285714285714	0.0	0.14285714285714285	0.0028011204481792717	0.0028011204481792717	0.011204481792717087	0.0	0.0028011204481792717	1	87	1	77	4	58	0	42	1	86	1	2	8	0	2
WRNIP1	C3	0.2920405081663469	0.1896581034189658	0.047619047619047616	0.29411764705882354	0.11764705882352942	0.35294117647058826	0.0	0.23529411764705885	0.014005602240896359	0.0056022408963585435	0.01680672268907563	0.0	0.011204481792717087	5	83	2	76	6	56	0	42	4	83	9	3	9	0	8
TBC1D12	C3	0.38602957885765055	0.2722372776272237	0.04201680672268907	0.13333333333333336	0.13333333333333336	0.2666666666666667	0.2666666666666667	0.2	0.0056022408963585435	0.0056022408963585435	0.011204481792717087	0.011204481792717087	0.008403361344537815	2	86	2	76	4	58	4	38	3	84	3	3	7	7	6
CD274	C3	0.43460458796427265	0.31946680533194666	0.0196078431372549	0.2857142857142857	0.0	0.42857142857142855	0.0	0.2857142857142857	0.0056022408963585435	0.0	0.008403361344537815	0.0	0.0056022408963585435	2	86	0	78	3	59	0	42	2	85	4	0	6	0	4
ALOX15	C3	0.5787098732786258	0.45727542724572756	0.025210084033613446	0.1111111111111111	0.1111111111111111	0.3333333333333333	0.2222222222222222	0.2222222222222222	0.0028011204481792717	0.0028011204481792717	0.008403361344537815	0.0056022408963585435	0.0056022408963585435	1	87	1	77	3	59	2	40	2	85	2	2	6	4	4
HLA.DMA	C3	0.5787098732786258	0.45778542214577855	0.011204481792717087	0.25	0.25	0.5	0.0	0.0	0.0028011204481792717	0.0028011204481792717	0.0056022408963585435	0.0	0.0	1	87	1	77	2	60	0	42	0	87	2	2	4	0	0
